ID_Proyecto,Nombre_Proyecto,Desarrollador,Tipo_Proyecto,Region_Proyecto,Fecha_Solicitud,Monto_Solicitado_MXN,Etapa_Funnel,Fecha_Etapa,Responsable,Evaluacion_Riesgo,Comentarios_Evaluacion,Tasa_Interes_Propuesta,Plazo_Meses,Publicado_Plataforma,ID_Campana,Fecha_Inicio_Campana,Meta_Campana_MXN,Monto_Fondeado_Campana_MXN,Fecha_Cierre_Campana,Estatus_Campana,Total_Inversionistas_Campana
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Solicitud Recibida,2024-01-15,Laura Martinez,,,,,,,,,,,,
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Analisis Viabilidad,2024-01-20,Laura Martinez,Bajo,"Documentacion completa, buen historial crediticio",16.5,24,,,,,,,,
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Aprobado Comite,2024-01-28,Comite Inversion,Bajo,"Proyecto viable, atractivo para inversionistas",16.5,24,Si,CAMP001,2024-02-05,7500000,7500000,2024-02-20,Fondeada Exitosamente,85
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,En Fondeo (Camp. 2),2024-02-22,Laura Martinez,Bajo,,16.5,24,Si,CAMP002,2024-02-22,7500000,7500000,2024-03-10,Fondeada Exitosamente,92
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Fondeado Totalmente,2024-03-10,Laura Martinez,Bajo,,16.5,24,Si,,,,,,,
PROY002,Loft Moderno GDL,Desarrollos Urbanos GDL,Mixto (Comercial/Residencial),Guadalajara,2024-01-20,8000000,Solicitud Recibida,2024-01-20,Juan Rodriguez,,,,,,,,,,,,
PROY002,Loft Moderno GDL,Desarrollos Urbanos GDL,Mixto (Comercial/Residencial),Guadalajara,2024-01-20,8000000,Analisis Viabilidad,2024-01-25,Juan Rodriguez,Medio,Requiere mas informacion sobre garantias,17.0,18,,,,,,,,
PROY002,Loft Moderno GDL,Desarrollos Urbanos GDL,Mixto (Comercial/Residencial),Guadalajara,2024-01-20,8000000,Informacion Adicional Solicitada,2024-01-26,Juan Rodriguez,Medio,Pendiente respuesta del desarrollador,17.0,18,,,,,,,,
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,Solicitud Recibida,2024-02-01,Sofia Hernandez,,,,,,,,,,,,
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,Analisis Viabilidad,2024-02-06,Sofia Hernandez,Bajo,"Excelente track record, garantias solidas",15.0,36,,,,,,,,
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,Aprobado Comite,2024-02-15,Comite Inversion,Bajo,Alto potencial de retorno,15.0,36,Si,CAMP003,2024-02-20,10000000,10000000,2024-03-05,Fondeada Exitosamente,150
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,En Fondeo (Camp. 2),2024-03-07,Sofia Hernandez,Bajo,,15.0,36,Si,CAMP004,2024-03-07,10000000,8500000,2024-03-27,En Fondeo,120
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,En Fondeo (Camp. 3),2024-03-29,Sofia Hernandez,Bajo,,15.0,36,Si,CAMP005,2024-03-29,5000000,1200000,2024-04-18,En Fondeo,35
PROY004,Plaza Comercial Sur,Grupo Constructor Delta,Comercial,Merida,2024-02-10,12000000,Solicitud Recibida,2024-02-10,Laura Martinez,,,,,,,,,,,,
PROY004,Plaza Comercial Sur,Grupo Constructor Delta,Comercial,Merida,2024-02-10,12000000,Analisis Viabilidad,2024-02-15,Laura Martinez,Alto,"Mercado saturado, proyecciones optimistas",18.5,30,,,,,,,,
PROY004,Plaza Comercial Sur,Grupo Constructor Delta,Comercial,Merida,2024-02-10,12000000,Rechazado Comite,2024-02-22,Comite Inversion,Alto,Riesgo elevado para inversionistas,18.5,30,No,,,,,,,
PROY005,Nave Industrial Queretaro,Logistica Total SA de CV,Industrial,Queretaro,2024-02-18,18000000,Solicitud Recibida,2024-02-18,Juan Rodriguez,,,,,,,,,,,,
PROY005,Nave Industrial Queretaro,Logistica Total SA de CV,Industrial,Queretaro,2024-02-18,18000000,Analisis Viabilidad,2024-02-23,Juan Rodriguez,Medio,"Buen proyecto, falta documentacion fiscal",16.0,24,,,,,,,,
PROY005,Nave Industrial Queretaro,Logistica Total SA de CV,Industrial,Queretaro,2024-02-18,18000000,Informacion Adicional Solicitada,2024-02-24,Juan Rodriguez,Medio,En espera de actualizacion fiscal,16.0,24,,,,,,,,
PROY005,Nave Industrial Queretaro,Logistica Total SA de CV,Industrial,Queretaro,2024-02-18,18000000,Analisis Viabilidad,2024-03-05,Juan Rodriguez,Bajo,Documentacion completa y correcta,16.0,24,,,,,,,,
PROY005,Nave Industrial Queretaro,Logistica Total SA de CV,Industrial,Queretaro,2024-02-18,18000000,Aprobado Comite,2024-03-12,Comite Inversion,Bajo,Demanda industrial en crecimiento en la zona,16.0,24,Si,CAMP006,2024-03-18,18000000,18000000,2024-04-02,Fondeada Exitosamente,210
PROY005,Nave Industrial Queretaro,Logistica Total SA de CV,Industrial,Queretaro,2024-02-18,18000000,Fondeado Totalmente,2024-04-02,Juan Rodriguez,Bajo,,16.0,24,Si,,,,,,,
PROY006,Departamentos Riviera Maya,Proyectos Cancunenses SAPI,Residencial Turistico,Cancun,2024-03-01,30000000,Solicitud Recibida,2024-03-01,Sofia Hernandez,,,,,,,,,,,,
PROY006,Departamentos Riviera Maya,Proyectos Cancunenses SAPI,Residencial Turistico,Cancun,2024-03-01,30000000,Analisis Viabilidad,2024-03-06,Sofia Hernandez,Medio,Requiere estudio de impacto ambiental detallado,17.5,36,,,,,,,,
PROY006,Departamentos Riviera Maya,Proyectos Cancunenses SAPI,Residencial Turistico,Cancun,2024-03-01,30000000,Informacion Adicional Solicitada,2024-03-08,Sofia Hernandez,Medio,Pendiente entrega de EIA,17.5,36,,,,,,,,
PROY007,Oficinas Corporativas Reforma,Edificios Capitalinos SC,Oficinas,CDMX,2024-03-05,22000000,Solicitud Recibida,2024-03-05,Laura Martinez,,,,,,,,,,,,
PROY007,Oficinas Corporativas Reforma,Edificios Capitalinos SC,Oficinas,CDMX,2024-03-05,22000000,Analisis Viabilidad,2024-03-10,Laura Martinez,Bajo,"Ubicacion premium, desarrollador con experiencia",15.5,30,,,,,,,,
PROY007,Oficinas Corporativas Reforma,Edificios Capitalinos SC,Oficinas,CDMX,2024-03-05,22000000,Aprobado Comite,2024-03-18,Comite Inversion,Bajo,Se espera alta demanda de inversionistas,15.5,30,Si,CAMP007,2024-03-25,11000000,11000000,2024-04-10,Fondeada Exitosamente,130
PROY007,Oficinas Corporativas Reforma,Edificios Capitalinos SC,Oficinas,CDMX,2024-03-05,22000000,En Fondeo (Camp. 2),2024-04-12,Laura Martinez,Bajo,,15.5,30,Si,CAMP008,2024-04-12,11000000,5500000,2024-05-02,En Fondeo,65
PROY008,Villas del Sol,Construye Hogar SA,Residencial Horizontal,Puebla,2024-03-12,9000000,Solicitud Recibida,2024-03-12,Juan Rodriguez,,,,,,,,,,,,
PROY008,Villas del Sol,Construye Hogar SA,Residencial Horizontal,Puebla,2024-03-12,9000000,Analisis Viabilidad,2024-03-17,Juan Rodriguez,Medio,"Desarrollador nuevo, proyecto pequeno interesante",17.2,18,,,,,,,,
PROY008,Villas del Sol,Construye Hogar SA,Residencial Horizontal,Puebla,2024-03-12,9000000,Aprobado Comite,2024-03-25,Comite Inversion,Medio,Aprobado con condiciones de supervision,17.2,18,Si,CAMP009,2024-04-01,9000000,9000000,2024-04-15,Fondeada Exitosamente,105
PROY008,Villas del Sol,Construye Hogar SA,Residencial Horizontal,Puebla,2024-03-12,9000000,Fondeado Totalmente,2024-04-15,Juan Rodriguez,Medio,,17.2,18,Si,,,,,,,
PROY009,Centro Logistico Tijuana,Transportes Frontera S de RL,Industrial,Tijuana,2024-03-15,16000000,Solicitud Recibida,2024-03-15,Sofia Hernandez,,,,,,,,,,,,
PROY009,Centro Logistico Tijuana,Transportes Frontera S de RL,Industrial,Tijuana,2024-03-15,16000000,Analisis Viabilidad,2024-03-20,Sofia Hernandez,Medio,Falta claridad en plan de negocio a largo plazo,16.8,28,,,,,,,,
PROY009,Centro Logistico Tijuana,Transportes Frontera S de RL,Industrial,Tijuana,2024-03-15,16000000,Rechazado Comite,2024-03-28,Comite Inversion,Medio,Incertidumbre en proyecciones financieras,16.8,28,No,,,,,,,
PROY010,EcoResidencias del Bosque,Desarrollos Verdes MX,Residencial Sustentable,Valle de Bravo,2024-03-20,13000000,Solicitud Recibida,2024-03-20,Laura Martinez,,,,,,,,,,,,
PROY010,EcoResidencias del Bosque,Desarrollos Verdes MX,Residencial Sustentable,Valle de Bravo,2024-03-20,13000000,Analisis Viabilidad,2024-03-26,Laura Martinez,Bajo,"Proyecto innovador, fuerte componente ecologico",16.0,24,,,,,,,,
PROY010,EcoResidencias del Bosque,Desarrollos Verdes MX,Residencial Sustentable,Valle de Bravo,2024-03-20,13000000,Aprobado Comite,2024-04-05,Comite Inversion,Bajo,Alineado con tendencias de mercado,16.0,24,Si,CAMP010,2024-04-10,13000000,9500000,2024-04-30,En Fondeo,110
PROY011,Corporativo Financiero MTY,Grupo Alfa Monterrey,Oficinas,Monterrey,2024-04-01,35000000,Solicitud Recibida,2024-04-01,Juan Rodriguez,,,,,,,,,,,,
PROY011,Corporativo Financiero MTY,Grupo Alfa Monterrey,Oficinas,Monterrey,2024-04-01,35000000,Analisis Viabilidad,2024-04-06,Juan Rodriguez,Bajo,"Solido, inquilinos AAA pre-contratados",14.5,36,,,,,,,,
PROY011,Corporativo Financiero MTY,Grupo Alfa Monterrey,Oficinas,Monterrey,2024-04-01,35000000,Aprobado Comite,2024-04-15,Comite Inversion,Bajo,"Excelente oportunidad, bajo riesgo",14.5,36,Si,CAMP011,2024-04-20,15000000,15000000,2024-05-05,Fondeada Exitosamente,180
PROY011,Corporativo Financiero MTY,Grupo Alfa Monterrey,Oficinas,Monterrey,2024-04-01,35000000,En Fondeo (Camp. 2),2024-05-07,Juan Rodriguez,Bajo,,14.5,36,Si,CAMP012,2024-05-07,10000000,10000000,2024-05-22,Fondeada Exitosamente,125
PROY011,Corporativo Financiero MTY,Grupo Alfa Monterrey,Oficinas,Monterrey,2024-04-01,35000000,En Fondeo (Camp. 3),2024-05-24,Juan Rodriguez,Bajo,,14.5,36,Si,CAMP013,2024-05-24,10000000,10000000,2024-06-10,Fondeada Exitosamente,130
PROY011,Corporativo Financiero MTY,Grupo Alfa Monterrey,Oficinas,Monterrey,2024-04-01,35000000,Fondeado Totalmente,2024-06-10,Juan Rodriguez,Bajo,,14.5,36,Si,,,,,,,
PROY012,Parque Industrial Bajio,Fibras Industriales del Centro,Industrial,Leon,2024-04-05,28000000,Solicitud Recibida,2024-04-05,Sofia Hernandez,,,,,,,,,,,,
PROY012,Parque Industrial Bajio,Fibras Industriales del Centro,Industrial,Leon,2024-04-05,28000000,Analisis Viabilidad,2024-04-10,Sofia Hernandez,Medio,Requiere actualizacion de permisos ambientales,16.2,30,,,,,,,,
PROY012,Parque Industrial Bajio,Fibras Industriales del Centro,Industrial,Leon,2024-04-05,28000000,Informacion Adicional Solicitada,2024-04-11,Sofia Hernandez,Medio,En espera de permisos actualizados,16.2,30,,,,,,,,
PROY012,Parque Industrial Bajio,Fibras Industriales del Centro,Industrial,Leon,2024-04-05,28000000,Analisis Viabilidad,2024-04-25,Sofia Hernandez,Bajo,"Permisos en orden, proyecto viable",16.2,30,,,,,,,,
PROY012,Parque Industrial Bajio,Fibras Industriales del Centro,Industrial,Leon,2024-04-05,28000000,Aprobado Comite,2024-05-02,Comite Inversion,Bajo,Buena demanda en la region,16.2,30,Si,CAMP014,2024-05-10,28000000,25000000,2024-06-10,En Fondeo,250
PROY013,Vivienda Media Puebla,Hogares Mexicanos SA,Residencial Horizontal,Puebla,2024-04-10,10000000,Solicitud Recibida,2024-04-10,Laura Martinez,,,,,,,,,,,,
PROY013,Vivienda Media Puebla,Hogares Mexicanos SA,Residencial Horizontal,Puebla,2024-04-10,10000000,Analisis Viabilidad,2024-04-15,Laura Martinez,Medio,"Desarrollador con poca experiencia, pero buenas garantias",17.8,24,,,,,,,,
PROY013,Vivienda Media Puebla,Hogares Mexicanos SA,Residencial Horizontal,Puebla,2024-04-10,10000000,Rechazado Comite,2024-04-22,Comite Inversion,Medio,Se prefiere desarrollador con mas historial para este monto,17.8,24,No,,,,,,,
PROY014,Hotel Boutique San Miguel,Turismo de Lujo SMA,Residencial Turistico,San Miguel de Allende,2024-04-12,18000000,Solicitud Recibida,2024-04-12,Juan Rodriguez,,,,,,,,,,,,
PROY014,Hotel Boutique San Miguel,Turismo de Lujo SMA,Residencial Turistico,San Miguel de Allende,2024-04-12,18000000,Analisis Viabilidad,2024-04-18,Juan Rodriguez,Bajo,"Concepto atractivo, ubicacion prime",16.5,36,,,,,,,,
PROY014,Hotel Boutique San Miguel,Turismo de Lujo SMA,Residencial Turistico,San Miguel de Allende,2024-04-12,18000000,Aprobado Comite,2024-04-26,Comite Inversion,Bajo,Alto potencial de ocupacion y tarifas,16.5,36,Si,CAMP015,2024-05-02,18000000,18000000,2024-05-20,Fondeada Exitosamente,195
PROY014,Hotel Boutique San Miguel,Turismo de Lujo SMA,Residencial Turistico,San Miguel de Allende,2024-04-12,18000000,Fondeado Totalmente,2024-05-20,Juan Rodriguez,Bajo,,16.5,36,Si,,,,,,,
PROY015,Torre de Usos Mixtos Veracruz,Construcciones del Golfo,Mixto (Comercial/Residencial),Veracruz,2024-04-18,22000000,Solicitud Recibida,2024-04-18,Sofia Hernandez,,,,,,,,,,,,
PROY015,Torre de Usos Mixtos Veracruz,Construcciones del Golfo,Mixto (Comercial/Residencial),Veracruz,2024-04-18,22000000,Analisis Viabilidad,2024-04-24,Sofia Hernandez,Medio,Estudio de mercado local un poco debil,17.0,30,,,,,,,,
PROY015,Torre de Usos Mixtos Veracruz,Construcciones del Golfo,Mixto (Comercial/Residencial),Veracruz,2024-04-18,22000000,Informacion Adicional Solicitada,2024-04-25,Sofia Hernandez,Medio,Solicitando proyecciones de venta mas conservadoras,17.0,30,,,,,,,,
PROY016,Campus Universitario Privado,Educacion Superior del Norte,Educativo,Chihuahua,2024-04-20,40000000,Solicitud Recibida,2024-04-20,Laura Martinez,,,,,,,,,,,,
PROY016,Campus Universitario Privado,Educacion Superior del Norte,Educativo,Chihuahua,2024-04-20,40000000,Analisis Viabilidad,2024-04-28,Laura Martinez,Medio,"Proyecto a gran escala, requiere analisis financiero profundo",15.8,48,,,,,,,,
PROY017,Clinica Medica Especializada,Salud Integral Queretaro,Salud,Queretaro,2024-05-02,12000000,Solicitud Recibida,2024-05-02,Juan Rodriguez,,,,,,,,,,,,
PROY017,Clinica Medica Especializada,Salud Integral Queretaro,Salud,Queretaro,2024-05-02,12000000,Analisis Viabilidad,2024-05-08,Juan Rodriguez,Bajo,"Sector con alta demanda, proyecciones realistas",16.0,24,,,,,,,,
PROY017,Clinica Medica Especializada,Salud Integral Queretaro,Salud,Queretaro,2024-05-02,12000000,Aprobado Comite,2024-05-15,Comite Inversion,Bajo,Buen retorno esperado para inversionistas,16.0,24,Si,CAMP016,2024-05-20,12000000,12000000,2024-06-05,Fondeada Exitosamente,140
PROY017,Clinica Medica Especializada,Salud Integral Queretaro,Salud,Queretaro,2024-05-02,12000000,Fondeado Totalmente,2024-06-05,Juan Rodriguez,Bajo,,16.0,24,Si,,,,,,,
PROY018,Desarrollo Agricola Tecnificado,AgroInversiones del Sureste,Agroindustrial,Yucatan,2024-05-05,9500000,Solicitud Recibida,2024-05-05,Sofia Hernandez,,,,,,,,,,,,
PROY018,Desarrollo Agricola Tecnificado,AgroInversiones del Sureste,Agroindustrial,Yucatan,2024-05-05,9500000,Analisis Viabilidad,2024-05-12,Sofia Hernandez,Alto,"Volatilidad de precios de commodities, riesgo climatico",19.0,36,,,,,,,,
PROY018,Desarrollo Agricola Tecnificado,AgroInversiones del Sureste,Agroindustrial,Yucatan,2024-05-05,9500000,Rechazado Comite,2024-05-20,Comite Inversion,Alto,Demasiados factores de riesgo no mitigados,19.0,36,No,,,,,,,
PROY019,Estacionamiento Inteligente Centro,Parking Solutions CDMX,Infraestructura,CDMX,2024-05-10,7000000,Solicitud Recibida,2024-05-10,Laura Martinez,,,,,,,,,,,,
PROY019,Estacionamiento Inteligente Centro,Parking Solutions CDMX,Infraestructura,CDMX,2024-05-10,7000000,Analisis Viabilidad,2024-05-16,Laura Martinez,Bajo,"Demanda garantizada, tecnologia probada",15.0,18,,,,,,,,
PROY019,Estacionamiento Inteligente Centro,Parking Solutions CDMX,Infraestructura,CDMX,2024-05-10,7000000,Aprobado Comite,2024-05-23,Comite Inversion,Bajo,"Retorno rapido, proyecto de bajo riesgo",15.0,18,Si,CAMP017,2024-05-28,7000000,7000000,2024-06-12,Fondeada Exitosamente,80
PROY019,Estacionamiento Inteligente Centro,Parking Solutions CDMX,Infraestructura,CDMX,2024-05-10,7000000,Fondeado Totalmente,2024-06-12,Laura Martinez,Bajo,,15.0,18,Si,,,,,,,
PROY020,Bodegas Flexibles Tlalnepantla,Almacenes Modernos EdoMex,Industrial,Estado de Mexico,2024-05-15,11000000,Solicitud Recibida,2024-05-15,Juan Rodriguez,,,,,,,,,,,,
PROY020,Bodegas Flexibles Tlalnepantla,Almacenes Modernos EdoMex,Industrial,Estado de Mexico,2024-05-15,11000000,Analisis Viabilidad,2024-05-21,Juan Rodriguez,Medio,"Buen mercado, pero competencia creciente",16.8,24,,,,,,,,
PROY020,Bodegas Flexibles Tlalnepantla,Almacenes Modernos EdoMex,Industrial,Estado de Mexico,2024-05-15,11000000,Aprobado Comite,2024-05-29,Comite Inversion,Medio,"Aprobado, se sugiere tasa ligeramente mayor",17.0,24,Si,CAMP018,2024-06-04,11000000,8000000,2024-06-24,En Fondeo,95
PROY021,Centro de Datos Tier III,DataCore Solutions,Tecnologia,Monterrey,2024-05-20,75000000,Solicitud Recibida,2024-05-20,Sofia Hernandez,,,,,,,,,,,,
PROY021,Centro de Datos Tier III,DataCore Solutions,Tecnologia,Monterrey,2024-05-20,75000000,Analisis Viabilidad,2024-05-28,Sofia Hernandez,Medio,"Alta inversion inicial, contratos de largo plazo necesarios",15.5,60,,,,,,,,
PROY021,Centro de Datos Tier III,DataCore Solutions,Tecnologia,Monterrey,2024-05-20,75000000,Informacion Adicional Solicitada,2024-05-30,Sofia Hernandez,Medio,Solicitando cartas de intencion de clientes ancla,15.5,60,,,,,,,,
PROY022,Restauracion Edificio Historico,Patrimonio Vivo GDL,Cultural,Guadalajara,2024-06-01,6000000,Solicitud Recibida,2024-06-01,Laura Martinez,,,,,,,,,,,,
PROY022,Restauracion Edificio Historico,Patrimonio Vivo GDL,Cultural,Guadalajara,2024-06-01,6000000,Analisis Viabilidad,2024-06-07,Laura Martinez,Bajo,"Subsidios gubernamentales disponibles, impacto social",14.0,36,,,,,,,,
PROY022,Restauracion Edificio Historico,Patrimonio Vivo GDL,Cultural,Guadalajara,2024-06-01,6000000,Aprobado Comite,2024-06-15,Comite Inversion,Bajo,Proyecto con valor agregado para la ciudad,14.0,36,Si,CAMP019,2024-06-20,6000000,6000000,2024-07-05,Fondeada Exitosamente,70
PROY022,Restauracion Edificio Historico,Patrimonio Vivo GDL,Cultural,Guadalajara,2024-06-01,6000000,Fondeado Totalmente,2024-07-05,Laura Martinez,Bajo,,14.0,36,Si,,,,,,,
PROY023,Complejo Deportivo Comunitario,Deporte para Todos AC,Recreativo,CDMX Iztapalapa,2024-06-03,8500000,Solicitud Recibida,2024-06-03,Juan Rodriguez,,,,,,,,,,,,
PROY023,Complejo Deportivo Comunitario,Deporte para Todos AC,Recreativo,CDMX Iztapalapa,2024-06-03,8500000,Analisis Viabilidad,2024-06-10,Juan Rodriguez,Medio,Requiere fuerte apoyo de la comunidad y gobierno local,16.5,24,,,,,,,,
PROY023,Complejo Deportivo Comunitario,Deporte para Todos AC,Recreativo,CDMX Iztapalapa,2024-06-03,8500000,Rechazado Comite,2024-06-18,Comite Inversion,Medio,Modelo de ingresos no suficientemente claro para crowdfunding,16.5,24,No,,,,,,,
PROY024,Co-living Roma Norte,UrbanStay Mexico,Residencial Coliving,CDMX,2024-06-05,14000000,Solicitud Recibida,2024-06-05,Sofia Hernandez,,,,,,,,,,,,
PROY024,Co-living Roma Norte,UrbanStay Mexico,Residencial Coliving,CDMX,2024-06-05,14000000,Analisis Viabilidad,2024-06-12,Sofia Hernandez,Bajo,"Modelo en auge, ubicacion estrategica",17.0,30,,,,,,,,
PROY024,Co-living Roma Norte,UrbanStay Mexico,Residencial Coliving,CDMX,2024-06-05,14000000,Aprobado Comite,2024-06-20,Comite Inversion,Bajo,Atractivo para jovenes profesionales,17.0,30,Si,CAMP020,2024-06-25,14000000,11500000,2024-07-15,En Fondeo,150
PROY025,Micro-parque Industrial Apodaca,PYME Industrial MTY,Industrial,Monterrey,2024-06-10,9000000,Solicitud Recibida,2024-06-10,Laura Martinez,,,,,,,,,,,,
PROY025,Micro-parque Industrial Apodaca,PYME Industrial MTY,Industrial,Monterrey,2024-06-10,9000000,Analisis Viabilidad,2024-06-17,Laura Martinez,Medio,"Concepto interesante, pero desarrollador nuevo en el sector",17.5,28,,,,,,,,
PROY025,Micro-parque Industrial Apodaca,PYME Industrial MTY,Industrial,Monterrey,2024-06-10,9000000,Informacion Adicional Solicitada,2024-06-19,Laura Martinez,Medio,Solicitando mayores garantias o inversion propia,17.5,28,,,,,,,,